Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
a,1,41.745167,-72.69263,"300 SUMMIT ST, HARTFORD, CT, 06106",Exact,US Census
b,2,41.768074,-72.673065,"950 MAIN ST, HARTFORD, CT, 06103",Exact,US Census
c,3,41.794655,-72.71764,"200 BLOOMFIELD AVE, WEST HARTFORD, CT, 06117",Exact,US Census
d,4,41.6882257,-72.7679837,"55 Paul Manafort Dr, New Britain, CT 06053, USA",Partial Match,Google
e,5,41.769394,-72.70706,"77 SHERMAN ST, HARTFORD, CT, 06105",Exact,US Census
f,6,41.80829,-72.73107,"467 BLOOMFIELD AVE, BLOOMFIELD, CT, 06002",Exact,US Census
g,7,41.764004,-72.6723,"14 PROSPECT ST, HARTFORD, CT, 06103",Exact,US Census
h,8,41.689274,-72.77059,"1615 STANLEY ST, NEW BRITAIN, CT, 06053",Match,US Census
i,9,41.75012,-72.64288,"1 RIVERSIDE DR, EAST HARTFORD, CT, 06118",Match,US Census
j,0,41.7622906,-72.5670043,"Great Path, Manchester, CT 06040, USA",Match,Google
k,11,41.77874,-72.72987,"1678 ASYLUM AVE, WEST HARTFORD, CT, 06117",Exact,US Census